x_m,y_m
-1.750147370255363407e+06,-3.103502300256536109e+05
-1.750081894043538254e+06,-3.091294842860179488e+05
-1.751193154904388124e+06,-3.076490736413233099e+05
-1.751618537392145023e+06,-3.068727148653904442e+05
-1.751393669630198507e+06,-3.065398358618681668e+05
-1.751259753080174793e+06,-3.060987063166368753e+05
-1.751341658730142517e+06,-3.054920474262446514e+05
-1.752251854834008496e+06,-3.047190089976962772e+05
-1.752770537798148347e+06,-3.046271883505589794e+05
-1.753193078139520017e+06,-3.045356421548470389e+05
-1.753393836033576634e+06,-3.042489448697663611e+05
-1.753360340428004740e+06,-3.039425116804062854e+05
-1.752854082043068483e+06,-3.034234560852838331e+05
-1.752615206975982757e+06,-3.023786671594826621e+05
-1.752865113428642275e+06,-3.020634251790466951e+05
-1.753679824538017157e+06,-3.010663697747547994e+05
-1.754045291886878200e+06,-2.997637785257340875e+05
-1.754440402768373489e+06,-2.993982859195277561e+05
