x_m,y_m
-1.654028728048947174e+06,-3.628145572679833276e+05
-1.653553641138409963e+06,-3.634676019063393469e+05
-1.653850588117897045e+06,-3.635864346157051623e+05
-1.654443854003166314e+06,-3.631113554262610269e+05
-1.654503195450469851e+06,-3.625768995403965819e+05
-1.654978642862629378e+06,-3.618647423944222974e+05
-1.655215465832966380e+06,-3.613302043694715830e+05
-1.655749950988554861e+06,-3.607364410889639985e+05
-1.656224745813130867e+06,-3.604395673917988897e+05
-1.656700351752959192e+06,-3.602616618666104623e+05
-1.657709461292374413e+06,-3.599646874086793978e+05
-1.658184328994036186e+06,-3.599646837885109126e+05
-1.658540193284928100e+06,-3.600833310540360981e+05
-1.658659632962735835e+06,-3.604397674408549210e+05
-1.658540729873389937e+06,-3.607960169046191731e+05
-1.659434539422420552e+06,-3.605800920966622652e+05
-1.662810591255100211e+06,-3.580878017877414241e+05
-1.664057864106236026e+06,-3.574225032350117690e+05
-1.664755653281820239e+06,-3.569373189832882490e+05
-1.665348005342951044e+06,-3.566285191385707003e+05
-1.665547331554617034e+06,-3.549182456803876557e+05
-1.666347193417934701e+06,-3.541980241242792690e+05
-1.667824755007059313e+06,-3.527999892811992904e+05
-1.668302014811703702e+06,-3.524998823192247073e+05
-1.668642421634449624e+06,-3.524014776141062612e+05
-1.669092576408206020e+06,-3.524018234269114910e+05
-1.669992869146332145e+06,-3.519527044631929020e+05
-1.671343247316099238e+06,-3.519537337310262956e+05
-1.672243308199313236e+06,-3.515042798959336942e+05
-1.673143386914407602e+06,-3.515055098645997932e+05
-1.673552816935668932e+06,-3.519153259914357332e+05
-1.674043042569066631e+06,-3.519561359569712076e+05
-1.675579543247779366e+06,-3.526619743300743867e+05
-1.675876860975616379e+06,-3.520683568813419552e+05
-1.675698417152087670e+06,-3.515339518269352266e+05
-1.675282770801830338e+06,-3.507027234165147529e+05
-1.675461458127010381e+06,-3.497530757685832214e+05
-1.675401850786745548e+06,-3.494561425527957617e+05
-1.674808529683237197e+06,-3.491592497245526756e+05
-1.674748821214662399e+06,-3.488624536436992930e+05
-1.674926751323078061e+06,-3.484466930525923381e+05
-1.675342242924180115e+06,-3.484467849009634810e+05
-1.675639408504712395e+06,-3.485678111884703976e+05
-1.675698292750776280e+06,-3.489810792081537074e+05
-1.675817698751031887e+06,-3.493968815987411654e+05
-1.677075361878413241e+06,-3.488113212701138109e+05
-1.678147014713397017e+06,-3.492109896537092864e+05
-1.679200550952512305e+06,-3.489252551007708535e+05
-1.679825209973765770e+06,-3.481749865431551589e+05
-1.679825353987000417e+06,-3.471747797383723082e+05
-1.680200250627580564e+06,-3.470497710955533548e+05
-1.680324841782885604e+06,-3.464251296593297157e+05
-1.680948753501127241e+06,-3.462998862671140232e+05
-1.681324597198527772e+06,-3.464249261173831183e+05
